Fold,Loss,Accuracy,Sensitivity,Specificity,Precision,Recall,F1-score,AUC
1,0.04563488811254501,0.9875,0.9842931937172775,0.9904306220095693,0.9894736842105263,0.9842931937172775,0.9868766404199475,0.9992422154863599
2,0.10270937532186508,0.9737827715355806,0.9680589680589681,0.9796954314720813,0.9800995024875622,0.9680589680589681,0.9740420271940667,0.9972810835754998
3,0.08353568613529205,0.9875156054931336,0.995049504950495,0.9798488664987406,0.9804878048780488,0.995049504950495,0.9877149877149877,0.997150659650348
4,0.07398314028978348,0.982521847690387,0.9827586206896551,0.9822784810126582,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.998709234894307
5,0.08640287071466446,0.9725343320848939,0.9850374064837906,0.96,0.9610705596107056,0.9850374064837906,0.9729064039408867,0.9982231920199501
6,0.07416284084320068,0.978776529338327,0.9806295399515739,0.9768041237113402,0.9782608695652174,0.9806295399515739,0.9794437726723095,0.9983337909687726
7,0.0746452659368515,0.9775280898876404,0.9853658536585366,0.969309462915601,0.9711538461538461,0.9853658536585366,0.9782082324455206,0.9983407148649492
8,0.06833262741565704,0.9825,0.972972972972973,0.9906976744186047,0.989010989010989,0.972972972972973,0.9809264305177112,0.9988434946574481
9,0.024577252566814423,0.99,0.9926650366748166,0.9872122762148338,0.9878345498783455,0.9926650366748166,0.9902439024390245,0.9996373163914232
10,0.0785580575466156,0.9824780976220275,0.9801488833746899,0.9848484848484849,0.9850374064837906,0.9801488833746899,0.982587064676617,0.9982204175752564
Average,0.07125420048832894,0.981513727365199,0.9826979980532776,0.9801125423101913,0.9805187832968686,0.9826979980532776,0.9815708082710726,0.9983982120084315
