Fold,Loss,Accuracy,Sensitivity,Specificity,Precision,Recall,F1-score,AUC
1,0.5357003211975098,0.715,0.6282722513089005,0.7942583732057417,0.7361963190184049,0.6282722513089005,0.6779661016949152,0.8064768656529473
2,0.546684741973877,0.714107365792759,0.7985257985257985,0.6269035532994924,0.6885593220338984,0.7985257985257985,0.739476678043231,0.8014879207772608
3,0.5338509678840637,0.7253433208489388,0.7599009900990099,0.690176322418136,0.713953488372093,0.7599009900990099,0.7362110311750599,0.8112639349577275
4,0.5623555183410645,0.7253433208489388,0.6009852216748769,0.8531645569620253,0.8079470198675497,0.6009852216748769,0.6892655367231639,0.8074328116231216
5,0.538671612739563,0.735330836454432,0.6758104738154613,0.795,0.7677053824362606,0.6758104738154613,0.7188328912466843,0.8104426433915213
6,0.5731358528137207,0.6953807740324595,0.9055690072639225,0.47164948453608246,0.6459412780656304,0.9055690072639225,0.7540322580645161,0.8125670851950775
7,0.6115474104881287,0.6791510611735331,0.8658536585365854,0.4833759590792839,0.6373429084380611,0.8658536585365854,0.7342295760082731,0.7856028943921154
8,0.6097933053970337,0.685,0.845945945945946,0.5465116279069767,0.6161417322834646,0.845945945945946,0.7129840546697039,0.7841671904462603
9,0.5671151876449585,0.69625,0.7799511002444988,0.6086956521739131,0.6758474576271186,0.7799511002444988,0.724177071509648,0.7884866713773848
10,0.5753682851791382,0.7158948685857321,0.8312655086848635,0.5984848484848485,0.6781376518218624,0.8312655086848635,0.7469342251950947,0.7998784369752113
Average,0.5654223203659058,0.7086801547736793,0.7692079956099863,0.6468220378066499,0.6967772559964344,0.7692079956099863,0.7234109424330291,0.8007806454788626
