Fold,Loss,Accuracy,Sensitivity,Specificity,Precision,Recall,F1-score,AUC
1,0.11131197214126587,0.965,0.9450261780104712,0.9832535885167464,0.9809782608695652,0.9450261780104712,0.9626666666666667,0.9941757058042536
2,0.13587479293346405,0.9550561797752809,0.9336609336609336,0.9771573604060914,0.9768637532133676,0.9336609336609336,0.9547738693467337,0.9929595031117874
3,0.11648169159889221,0.9650436953807741,0.995049504950495,0.9345088161209067,0.9392523364485982,0.995049504950495,0.966346153846154,0.9964024740005487
4,0.07456284761428833,0.9700374531835206,0.9876847290640394,0.9518987341772152,0.9547619047619048,0.9876847290640394,0.9709443099273608,0.9972750514435368
5,0.10487872362136841,0.9675405742821473,0.970074812967581,0.965,0.9652605459057072,0.970074812967581,0.9676616915422885,0.9940960099750623
6,0.07273412495851517,0.9675405742821473,0.9782082324455206,0.9561855670103093,0.9596199524940617,0.9782082324455206,0.9688249400479616,0.9973290731634258
7,0.10973139852285385,0.9538077403245943,0.9463414634146341,0.9616368286445013,0.9627791563275434,0.9463414634146341,0.9544895448954489,0.9933254319755473
8,0.09796386957168579,0.965,0.9648648648648649,0.9651162790697675,0.9596774193548387,0.9648648648648649,0.9622641509433963,0.9952734129478316
9,0.1163916289806366,0.95625,0.9755501222493888,0.9360613810741688,0.9410377358490566,0.9755501222493888,0.9579831932773109,0.9958291385013663
10,0.14882002770900726,0.9499374217772215,0.9230769230769231,0.9772727272727273,0.9763779527559056,0.9230769230769231,0.9489795918367347,0.9924869037772264
Average,0.10887510776519775,0.9615213639005686,0.9619537764704853,0.9608091282292432,0.9616609017980549,0.9619537764704853,0.9614934112330055,0.9949152704700586
