Fold,Loss,Accuracy,Sensitivity,Specificity,Precision,Recall,F1-score,AUC
1,0.5425665974617004,0.73125,0.6832460732984293,0.7751196172248804,0.7352112676056338,0.6832460732984293,0.7082767978290366,0.8136037976903229
2,0.5652764439582825,0.7203495630461922,0.8058968058968059,0.631979695431472,0.693446088794926,0.8058968058968059,0.7454545454545455,0.8028099627084399
3,0.5607883930206299,0.7228464419475655,0.7995049504950495,0.6448362720403022,0.6961206896551724,0.7995049504950495,0.7442396313364056,0.8171496620694814
4,0.5593386888504028,0.7228464419475655,0.6699507389162561,0.7772151898734178,0.7555555555555555,0.6699507389162561,0.7101827676240208,0.8022822223607906
5,0.697943389415741,0.6878901373283396,0.9376558603491272,0.4375,0.6256239600665557,0.9376558603491272,0.7504990019960079,0.80964463840399
6,0.5529972910881042,0.7403245942571786,0.6440677966101694,0.8427835051546392,0.8134556574923547,0.6440677966101694,0.7189189189189188,0.8239372457003071
7,0.6327636241912842,0.6966292134831461,0.8634146341463415,0.5217391304347826,0.6543438077634011,0.8634146341463415,0.7444794952681387,0.7975484997816731
8,0.6174963712692261,0.6875,0.8189189189189189,0.5744186046511628,0.6234567901234568,0.8189189189189189,0.7079439252336448,0.7907542426147077
9,0.5615898966789246,0.7225,0.60880195599022,0.8414322250639387,0.8006430868167203,0.60880195599022,0.6916666666666667,0.8036943702749517
10,0.5641865730285645,0.7396745932415519,0.7518610421836228,0.7272727272727273,0.7372262773722628,0.7518610421836228,0.7444717444717445,0.8006867684287038
Average,0.585494726896286,0.7171810985251539,0.758331877680494,0.6774296967147323,0.7135083181246039,0.758331877680494,0.7266133494799131,0.8062111410033369
