Fold,Loss,Accuracy,Sensitivity,Specificity,Precision,Recall,F1-score,AUC
1,0.19552603363990784,0.9525,0.9502617801047121,0.9545454545454546,0.9502617801047121,0.9502617801047121,0.9502617801047121,0.9928730679626243
2,0.24234876036643982,0.9575530586766542,0.9508599508599509,0.9644670050761421,0.9650872817955112,0.9508599508599509,0.957920792079208,0.9911323413861485
3,0.11986926198005676,0.9700374531835206,0.9777227722772277,0.9622166246851386,0.9634146341463414,0.9777227722772277,0.9705159705159705,0.9968763249120882
4,0.20811983942985535,0.9488139825218477,0.9802955665024631,0.9164556962025316,0.9234338747099768,0.9802955665024631,0.951015531660693,0.9951923676498098
5,0.14745594561100006,0.9588014981273408,0.9526184538653366,0.965,0.9646464646464646,0.9526184538653366,0.958594730238394,0.9944139650872817
6,0.11662474274635315,0.9637952559300874,0.9539951573849879,0.9742268041237113,0.9752475247524752,0.9539951573849879,0.9645042839657283,0.9965864556551259
7,0.22340525686740875,0.9612983770287141,0.9658536585365853,0.9565217391304348,0.9588377723970944,0.9658536585365853,0.9623329283110571,0.9910080469091136
8,0.19563567638397217,0.95875,0.9648648648648649,0.9534883720930233,0.946949602122016,0.9648648648648649,0.9558232931726909,0.993931489629164
9,0.17293760180473328,0.95875,0.9755501222493888,0.9411764705882353,0.9454976303317536,0.9755501222493888,0.9602888086642598,0.9952382143460127
10,0.2436954528093338,0.9499374217772215,0.9330024813895782,0.9671717171717171,0.9665809768637532,0.9330024813895782,0.9494949494949494,0.9912524751234428
Average,0.1865618571639061,0.9580237047245387,0.9605024808035096,0.955526988361639,0.9559957541870098,0.9605024808035096,0.9580753068207664,0.9938504748660811
